ID,District,County,Route,BackPM,AheadPM,EA,EFIS,TYP,RTL Award,Activity Category,Support Cost ($K),R/W Capital ($K),Construction Capital ($K),Total ($K),Status,Activity/Project Location
MA000001,1,HUM,101,79.9,84.9,0C930,113000078.0,2017.0,,Drainage (201.151),0,25,909,934,Active,"In Humboldt County, in and near Eureka and Arcata at various locations from 0.1 mile of Eureka Slough Bridge to 0.9 mile south of the Route 255/101 Separation. Install Tide Gates."
MA000002,1,HUM,96,22.9,22.9,0F080,115000064.0,2017.0,,Safety - Collision Reduction (201.015),0,5,1103,1108,Active,"In Humboldt County, in Weitchpec at Pearson Lane. Construct retaining wall to improve sight distance."
MA000003,1,MEN,1,59.3,59.3,0J010,118000146.0,2017.0,,Pavement (201.121),0,0,1050,1050,Active,"In Mendocino County, near Fort Bragg at Simpson Lane Road 414. Replace Simpson lane roundabout pavement."
MB000074,1,HUM,283,0.13,0.356,0C870,113000074.0,,,Mobility - ADA (201.378),0,0,227,227,Active,"In Humboldt County, near Rio Dell at the Eel River Bridge No. 4-15. Upgrade sidewalks for Americans with Disabilities Act (ADA)."
MB000075,1,MEN,253,14.17,14.21,0G310,116000168.0,2017.0,,Safety - Collision Reduction (201.015),45,0,210,255,Active,IN MENDOCINO COUNTY NEAR UKIAH AT SLIDE CREEK
MB000076,1,HUM,101,R95.6,R95.6,0F780,116000062.0,,12/20/20,Facilities (201.354),0,0,0,0,Active,"In Humboldt County, near Mckinleyville at the N. Central Avenue Undercrossing. Install cable barrier system."
MB000077,1,MEN,20,30.7,31.2,0G280,116000165.0,2017.0,,Safety - SI (201.010),80,0,250,330,Active,IN MENDOCINO COUNTY NEAR WILLITS FROM 1.8 MILE WEST OF CROPLEY LANE TO 1.3 MILE WEST OF CROPLEY LANE AT THREE LOCATIONS
MB000078,1,MEN,1,58.5,58.5,0B750,112000174.0,2017.0,,Mobility - TMS (201.315),150,0,195,345,Active,IN MENDOCINO COUNTY NEAR FORT BRAGG AT BOICE LANE
MB000079,1,MEN,253,,,0J260,118000200.0,,,Safety - Collision Reduction (201.015),0,0,125,125,Active,In Mendocino County near Boonville at the EB & WB approaches to Soda Creek Bridge. Upgrade bridge approaches.
MB000080,1,HUM,36,17.03,17.03,0G320,116000169.0,2017.0,,Safety - Collision Reduction (201.015),40,0,270,310,Active,IN HUMBOLDT COUNTY NEAR BRIDGEVILLE FROM 0.09 MILE WEST OF GRIZZLY CREEK STATE PARK TO 0.08 MILE EAST OF GRIZZLY CREEK STATE PARK
MA000081,1,LAK,20,26.54,26.63,0G550,117000018.0,2017.0,07/15/21,Safety - Collision Reduction (201.015),70,0,290,360,Active,In Lake County near Clear Lake Oaks at Beryl Way. Install Guardrail.
MB000082,1,HUM,169,24.1,33.2,49330,100000476.0,,,Drainage (201.151),73,0,174,247,Active,"In Humboldt County, near Weitchpec from 0.4 mile east of Cappell Road (7Q300) to 0.6 mile west of the Humboldt 96/169 Junction. Rehabilitate culverts."
MB000083,1,DN,199,,,0H770,118000103.0,,,Facilities (201.352),0,0,305,305,Active,In Del Norte County near Idlewild at the Idlewild Maintenance Station. Pavement overlay.
MA000084,1,HUM,36,,,46170,116000032.0,,,Facilities (201.352),0,5,330,335,Active,In Humboldt County in Bridgeville at the Bridgeville Maintenance Station. Upgrade Water System
MB000087,1,HUM,101,75.1,77.09,0H740,118000082.0,2017.0,,Safety - Collision Reduction (201.015),60,0,290,350,Active,In Humboldt County in Eureka from South Bayshore Mall Entrance to Henderson Street. Widen shoulders.
MB000088,1,DN,199,33.41,34.96,0G200,116000135.0,2017.0,,Mobility - TMS (201.315),10,0,280,290,Active,IN DEL NORTE COUNTY NEAR THE OREGON STATE LINE FROM 0.1 TO 0.4 MI NORTH OF COLLIER TUNNEL
MB000089,1,HUM,101,,,0H990,118000142.0,,,Facilities (201.352),0,0,314,314,Active,In Humboldt County in Eureka at the Eureka District Office. Upgrade building.
MB000090,1,HUM,101,0,101,0H280,117000155.0,2017.0,,Major Damage - Permanent Restoration (201.131),60,50,125,235,Active,IN HUMBOLDT COUNTY ON OR NEAR ROUTE 101 FROM THE MENDOCINO COUNTY LINE TO MYERS FLAT SEPARATION BRIDGE #4-124 AND ON OR NEAR ROUTE 254 FROM ROUTE 101 JUNCTION TO 1.1 MILES SOUTH OF GREENLAW CREEK BRIDGE #4-171
MB000091,1,MEN,1,75.4,75.4,0H850,118000118.0,2017.0,,Roadside (201.210),100,0,290,390,Active,IN MENDOCINO COUNTY NEAR FORT BRAGG AT 0.4 MI NORTH OF BLUE SLIDE GULCH
MB000092,1,MEN,20,17.2,17.3,0J030,118000143.0,,,Safety - Collision Reduction (201.015),20,0,254,274,Active,In Mendocino County on Route 20 at Chamberlain Creek Bridge. Upgrade guardrail at structure approaches.
MB000093,1,MEN,101,27.5,27.5,0J110,118000169.0,2017.0,,Facilities (201.352),60,100,300,460,Active,IN MENDOCINO COUNTY AT AND ADJOINING THE UKIAH MAINTENANCE STATION
MB000094,1,MEN,101,59.3,59.7,0J300,119000006.0,2017.0,02/28/20,Safety - Collision Reduction (201.015),60,0,314,374,Active,IN MENDOCINO COUNTY NEAR WILLITS FROM ROUTE 101/162 JUNCTION TO LONG VALLEY CREEK BRIDGE #10-180
MB000095,1,LAK,29,,,0J310,119000007.0,,,Facilities (201.352),0,0,322,322,Active,In Lake County near Lakeport at the Lakeport Maintenance Station. Pavement Overlay.
MB000096,1,MEN,128,R28.1,R28.1,0J320,119000009.0,,,Facilities (201.352),0,0,310,310,Active,"In Mendocino County, in Boonville at the Boonville Maintenance Station. Replace asphalt surfacing."
MB000097,1,HUM,101,102.9,102.9,0J360,119000012.0,2017.0,,Roadside (201.250),60,0,270,330,Active,In Humboldt County near Trinidad at the Trinidad southbound safety roadside rest area. Upgrade water system.
MB000098,1,MEN,101,,,0J340,119000011.0,,,Drainage (201.151),0,3,100,103,Active,In Mendocino County near Longvale at 0.4 mile south of Moss Cove Safety Roadside Rest Area. Upgrade culvert inlet.
MB000099,1,MEN,175,5.4,5.5,0J790,119000103.0,,,Safety - Collision Reduction (201.015),0,0,310,310,Active,"In Mendocino County, near Hopland from 1.3 to 1.4 miles west of Mathews Road. Improve existing pullout."
MB000100,1,HUM,101,83.4,83.4,0F740,116000051.0,2017.0,,Facilities (201.352),60,583,275,918,Active,In Humboldt County near Eureka at Bracut maintenance station. Upgrade sensing and electrical.
MB000101,1,HUM,101,77.9,78.0,0C680,113000072.0,2017.0,,Mobility - TMS (201.315),60,10,100,170,Active,IN HUMBOLDT COUNTY IN EUREKA FROM NORTHBOUND COMMERCIAL STREET TO 4TH STREET AND FROM 5TH STREET TO E STREET
MB000102,1,HUM,101,R89.8,R89.9,0J460,119000042.0,2017.0,,Safety - Collision Reduction (201.015),60,0,166,226,Active,IN HUMBOLDT COUNTY FROM 0.03 MILE NORTH OF THE END OF MAD RIVER BRIDGE TO 0.13 MILE NORTH OF THE END OF MAD RIVER BRIDGE #04-25
MB000104,1,MEN,101,0,0,0J040,118000148.0,2017.0,,Safety - Collision Reduction (201.015),60,0,305,365,Active,IN MENDOCINO COUNTY AT VARIOUS LOCATIONS
MB000105,1,HUM,101,0,0,0J050,118000149.0,2017.0,,Safety - Collision Reduction (201.015),60,0,285,345,Active,IN HUMBOLDT COUNTY AT VARIOUS LOCATIONS FROM 0.1 MILE SOUTH OF EEL RIVER BRIDGE #04-241 TO 0.1 MILE NORTH OF HERRICK AVENUE OVERCROSSING
MB000106,1,HUM,101,0,0,0J060,118000150.0,2017.0,,Safety - Collision Reduction (201.015),60,0,285,345,Active,IN HUMBOLDT COUNTY AT VARIOUS LOCATIONS FROM 0.1 MILE SOUTH OF EEL RIVER BRIDGE #04-241 TO 0.1 MILE NORTH OF HERRICK AVENUE OVERCROSSING
